Domain (FROM),Connection TO,Original Text,Proposed website text,Comments
LE Harvest Energy,LS Income and Work,"Jobs created for Glaswegians in clean energy

Potential impact on household bills unknown? Could eventually reduce fuel poverty.

Loss of jobs in the 'dirty' sector BEFORE jobs are replaced in the clean/green sector","Growth in local, renewable energy infrastructure can create sustainable jobs supporting income and work. However, some jobs may be lost in current energy industries before they are replaced in the green energy sector.  ",
LE Harvest Energy,LS Energy,"Increased energy security

Potential impact on household bills unknown?

More energy produced by renewable means will make renewable energy cheaper and cheaper? Feedback loop? LEARNING CURVES",Increasing energy produced by renewable means will improve energy security and drive down energy prices. ,
LE Harvest Energy,LS Health,"Reduced pollution from gas/wood burners etc. may improve air quality and therefore health (respiratory, cardiovascular)",,Leave out as not direct link (via cleanse the air)?
LE Harvest Energy,LS Social Equity,"Increased opportunity for community owned/managed energy sources, to provide more equitable access and oversight over this public/common good
BUT
Distribution and access to this renewable energy (and associated benefits) may not be equitable without specific 'Just Transition' policies re. access, training, financing, capacity building etc.",Opportunities for community owned and managed clean energy production could improve social equity if the necessary support is in place for equitable access (e.g. training and capacity building). ,
LE Harvest Energy,LS Culture,"Expensive green energy infrastructure could put pressure on other budgets e.g. Culture, Education",Expensive green energy infrastructure may put pressure on other local budgets including culture.,
LE Harvest Energy,LS Equality in Diversity,"Through education, could create new opportunities for women and girls who are underrepresented in engineering and tech disciplines.","New opportunities around renewable energy infrastructure could benefit women and girls, who are under-represented in engineering and technology disciplines, and improve equality and diversity. ",
LE Harvest Energy,LS Political Voice,Community-owned power can help democratise the power sector and be a boost for democratic engagement and political activism. (IF the local enfranchisement is supported by centralised (or centrally-resourced) capacity building),Community-owned energy may help democratise the power sector and support local political voice and engagement. ,
LE Harvest Energy,LS Community,"Shared models of energy/community owned and managed clean energy production, could bring members of a community together to act for a common good.",Opportunities for community owned and managed clean energy production can bring members of the community together.,
LE Harvest Energy,LS Education,"People in Glasgow can learn about new technologies e.g. heat pumps

Local schools and colleges become part of a sustainable pipeline delivering training and opportunities for Glasgow students to access new jobs in green energy.

Expensive green energy infrastructure could put pressure on other budgets e.g. Culture, Education","Growth in local, renewable energy infrastructure can create training opportunities, supporting education. However, expensive green energy infrastructure may put pressure on other local budgets, including education.",
LE Harvest Energy,LS Water,Renewable energy programs CAN support sustainable water management and conservation (which direction does this relationship go in?),Renewable energy programs can support sustainable fresh water management and conservation.,
LE Harvest Energy,LS Peace and Justice,"Increased political leverage for Glasgow/Scotland/UK on international stage

More energy security reduces our vulnerability to impacts of global conflicts ",,Better local energy security can support peace and justice by increasing Glasgow/Scotland’s political leverage and minimising its vulnerability to international conflicts. ? Leave out - more of a global impact than local?
LE Harvest Energy,LE Cleanse the Air,Reduced pollution from 'dirty' fuel sources e.g. wood burning stoves,"Harvesting clean energy could reduce air pollution from the use of wood-burning stoves, and burning fossil fuels.",
LE Harvest Energy,LE House Biodiversity,"Clean energy can improve air quality, reduce sound and light pollution, improving conditions for biodiversity",,Leave out as not direct link (via cleanse the air)?
LE Harvest Energy,GE Biodiversity Loss,"Clean energy can improve air quality, reduce sound and light pollution, improving conditions for biodiversity",,Leave out as not direct link (via cleanse the air)?
LE Harvest Energy,GE Ozone Layer Depletion,"?? (what does this mean?!)
Ozone Depletion: use of NH3 instead of HFCs as a refrigerant (could have unintended consequences?)",,??
LE Harvest Energy,GE Air Pollution,Reduced burning of fossil fuels will improve global air quality,Harvesting clean energy could reduce air pollution from burning fossil fuels.,
LE Harvest Energy,GE Ocean Acidification,"Reduced burning of fossil fuels will lower CO2 emissions, reducing the contribution to ocean acidification

Lower CO2/SO1 emissions = lower levels of acidification (or is this SO2, Sulphur Dioxide??)",Replacing fossil fuel energy by harvesting clean energy will reduce CO2 emissions contributing to ocean acidification.,
LE Harvest Energy,GE Climate Change,"Reduced burning of fossil fuels will lower CO2 emissions, reducing the contribution to climate change",Replacing fossil fuel energy by harvesting clean energy will reduce CO2 emissions contributing to climate change.,
LE Harvest Energy,GE Land Conversion,Demand for infrastructure materials and transition metals could have a damaging global material footprint,Demand for materials and transition metals for new energy infrastructure may result in land conversion and have a damaging global material footprint. ,
LE Harvest Energy,GE Fresh Water Withdrawal,Renewable energy programs CAN support sustainable water management and conservation,Renewable energy programs can support sustainable fresh water management and conservation.,
LE Harvest Energy,GE Chemical Pollution,"Demand for infrastructure materials and transition metals could have a damaging global material footprint

But, clean energy could reduce our reliance on harmful hydrocarbons e.g. Aldehydes

There are issues with components of 'clean' energy solutions e.g. toxicity of solar panels, batteries.
Concerns about where component materials are sourced from, and where they end up in the environment e.g. batteries, plastic, metal, component parts.","Demand for materials and transition metals for new energy infrastructure, and disposal of their waste products, may cause chemical pollution. ",
LE Harvest Energy,GS Peace and Justice,Reduced reliance on autocratic regimes and oil/gas extraction companies may limit the power of despots and warmongers ,Better local energy security can support peace and justice by increasing Glasgow/Scotland’s political leverage and minimising its vulnerability to international conflicts. ,
LE Harvest Energy,GS Health,Reduced pollution from burning hydrocarbons/fossil fuels may improve life expectancy worldwide (4.2 million deaths each year caused by ambient air pollution),,Leave out as not direct link (via cleanse the air)?
LE Harvest Energy,GS Food,Reducing effects of climate change (through this decarbonisation) may increase/stabilise food security in vulnerable regions,,Leave out as not direct link (via climate change)?
LE Harvest Energy,GS Income and Work,"Jobs in the mining/extraction industries may be dangerous/exploitative/rely on forced/child labour

BUT 'Increasing installed capacity has the extremely important positive consequence that it drives down the price and thereby makes renewable energy sources more attractive, earlier. In the coming years most of the additional demand for new electricity will come from low- and middle-income countries; we have the opportunity now to ensure that much of the new power supply will be provided by low-carbon sources.' (OWID)","Without transparent supply chains, work in the mining/extraction industry for materials required for renewable energy production may be dangerous or exploitative.",
LE Harvest Energy,GS Social Equity,"Global knowledge exchange could provide insight/information from these schemes to benefit communities elsewhere

WASTE: Concerns about where component materials are sourced from, and where they end up in the environment e.g. batteries, plastic, metal, component parts. ","Global knowledge exchange could support communities elsewhere to benefit from harvesting energy, increasing global social equity. However, transparent supply chains and waste management processes for energy harvesting solutions are needed to preserve social equity.",
LE Harvest Energy,GS Energy,"Increased capacity for renewable energy capture and storage will bring overall prices down - benefit could be felt elsewhere (feedback loop)

Learning Curves: with each doubling of cumulative installed capacity, the price decreases by same fraction",,Increasing energy produced by renewable means will improve energy security and drive down energy prices. ?is this global or local effect?
LE Cleanse the Air,LS Income and Work,Could be some cost barriers to active travel e.g. buying bikes or upgrading to low emission vehicles/EVs,,"? Should this be reversed, e.g. Costs of active travel (e.g. buying bikes) or upgrading to low emission or electric vehicles may be barriers to initiatives to reduce air pollution."
LE Cleanse the Air,LS Health,"Active Travel is good for physical health e.g. cardiovascular, respiratory, reducing overweight. LEZs and Urban Greening will improve air quality (and toxic air is harmful to every organ in the body), so also good for cardiovascular and respiratory health","Reducing air pollution through increased urban greening, active travel infrastructure and low emission zones could improve health (e.g. respiratory and cardiovascular).",
LE Cleanse the Air,LS Mobility,Active travel initiatives could improve options for mobility and getting around the city to access other opportunities,Initiatives to reduce air pollution through increased active travel and cleaner public transport options could increase options for mobility.,
LE Cleanse the Air,LE Store Carbon,Urban greening intended to cleanse the air will also store carbon,Green and blue urban infrastructure intended to reduce air pollution will also help store carbon.,
LE Cleanse the Air,LE Enhance Wellbeing,More greenery = good for wellbeing/life satisfaction,Green and blue urban infrastructure intended to reduce air pollution will also enhance wellbeing.,
LE Cleanse the Air,LE Regulate the Temperature,Urban greening intended to cleanse the air will also help to regulate the temperature,Green and blue urban infrastructure intended to reduce air pollution will also help regulate the temperature.,
LE Cleanse the Air,LE House Biodiversity,Reduced Air Pollution will have positive impact on species abundance,Reducing air pollution could also improve conditions for species abundance and protect biodiversity.,
